[-0.02140354144052381, -0.05664406653670406]
[-0.019582858992154506, -0.03170139460682142]
[0.008490286896936095, 0.024381019852270924]
[-0.006473723753826821, 0.021872466128451062]
[-0.006576006599998685, -0.019586809669580596]
[0.01377278450597652, -0.02047982954794958]
[0.012407784051438941, -0.0031265743659147915]
[0.004846075886109524, -0.005020883985537572]
[-0.017228436852660955, -0.019971161210103006]
[0.0026620836487580846, -0.002787229276367098]
[-0.0011082731523028855, -0.013985680260371058]
[-0.02651441955969247, -0.010946829856549711]
[0.0006641861427580942, 0.0064519242058080906]
[0.012854123375338311, 0.0041221396240004315]
[0.007316266000458871, -0.015750604772838184]
[0.009631971040890974, -0.016767691975084764]
[-0.006142997201375344, -0.006582395034349542]
[0.0042763626783810516, 0.0025644206265088565]
[-0.011375139030367798, -0.02069247092508153]
[-0.013316528414156537, -0.010015914538640147]
[0.0077190618347060536, 0.0033488857750416656]
[-0.01632299780834101, -0.0030434051409715668]
[-0.0034775592777629427, -0.008416352667363736]
[0.028631027987197744, -0.009486585274324666]
[0.013532553573014194, -0.008376669711241513]
[-0.004984326561122021, 0.0008973613234566358]
[-0.025421329749483412, -0.015034455650367207]
[0.004654660889265916, -0.010527788135789695]
[0.013229779311031198, -0.0037478275091482605]
[-0.030799244169286588, 5.613738886633968e-06]
[-0.005883857937033277, -0.006088352784135109]
[0.02020929017812856, -0.01906297817114533]
[0.013741513461298815, -0.003270991789284805]
[0.007594342724285497, 0.013488390008949969]
[-0.015185998820141933, -0.018083238245615973]
[0.001384459252186332, -0.018859866959654914]
[0.0006498726475263616, 0.002398093733444906]
[-0.02209750890031481, 0.004772616868534252]
[0.0010379097447379415, -0.013442516297576868]
[0.003210058205994848, -0.021608330804414377]
[0.008341796502635113, 0.0013168741419140595]
[0.01226922513346107, 0.008040079632683828]
[-0.007808183367879362, -0.012150565173262073]
[0.008762360370645705, -0.003413054406324667]
[-0.0015642322361619776, -0.0050414487627341575]
[-0.022540162340731307, -0.011612425697745676]
[-0.002473442560574135, -0.0049259019113487845]
[0.0015506965602294365, -0.00885500091494218]
[0.008810559942269869, -0.007922886174942745]
[0.0019101089130191262, -0.005139017324824691]
[-0.005182372908282051, -0.0019800333170503226]
[0.020718766663396337, 0.007294178624119185]
[0.0007580423686652793, -0.008743886884351681]
[-0.023769242435613513, -0.010149021742864361]
[-0.006124145247562218, -0.004723824779546915]
[0.002826471835238653, -0.014988001448105637]
[0.007874358792989256, -0.0056306982637728265]
[-0.0064013402416405185, -0.0038264849921272326]
[-0.0017553247796517901, -0.005599635792741031]
[0.021515546225360893, 0.005544931352392535]
[0.00011502534802998454, -0.0024806159005796857]
[-0.013638796701515687, -0.0024377825929791097]
[-0.0038532056209881205, -0.00834625653806298]
[-0.005711684085679902, -0.016590006037503713]
[0.0037878690037906892, -0.003005210954321269]
[-0.0032366154833249894, -0.010297742260364062]
[0.00020931552566549882, -0.006990461061570308]
[0.013203570596839409, 0.007610036798825881]
[0.002454465397437211, -0.0021213634649903668]
[-0.0055450103823333485, -8.905823171989624e-05]
[-0.004925474010882613, -0.002608033836277057]
[-0.0035742729967376263, -0.009372794150965591]
[0.004386540522818283, -0.00969756502504937]
[-0.010070621673360147, -0.021467813835883254]
[-0.0018307461272804026, -0.00032075793920827156]
[0.01334730697105213, 0.010510965852526422]
[0.0029116801727062658, -0.006535970446649997]
[-0.0038634923601796878, -0.0024428069025352883]
[0.00023676760148161335, 0.0006985796751544093]
[-0.004050722098568826, -0.0009067901080135332]
[-0.001960384825363093, -0.007187401127563331]
[-0.0035903775913681546, -0.022385144887610453]
[0.0015055805335202344, -0.006022380460327326]
[-0.0014573775231623287, -0.0014508392406535897]
[0.00046994739079853076, 0.0010884854820022438]
[0.008263243958728683, 0.008037415898311195]
[0.002928598373816982, -0.005307429040412592]
[-0.010508194777805402, -0.005884968545955438]
[-0.002174263781752117, -0.00218858147822254]
[0.003165815696150709, -0.011896305793443585]
[-9.1653811016279e-06, -0.005977951670329218]
[-0.007023740883467022, -0.01161618067783432]
[-0.0009136803096931878, -0.002226906102891557]
[0.00817800418944481, 0.004846733771829204]
[0.006410014717986634, -0.001009264874068938]
[-0.0095479757005692, 0.0036301682762607257]
[-0.004153654139756657, -0.0033049241530818674]
[0.005910079710748528, -0.014052829007093592]
[0.002165402268850869, -0.006303164378243242]
[-0.009927972728142054, -0.00950929678837209]
[-0.0031031751188166368, 0.00015452586695324788]
[0.008296406879327867, -0.0015171643622902131]
[0.004628880484121911, -0.004456599579000964]
[-0.01019499608200447, 0.003965085276524949]
[0.002148613239535191, 0.0016860816308301718]
[0.005377641383331744, -0.004585219553065123]
[-0.00270195784448779, -0.008220336569615072]
[-0.006100664042959059, -0.015105231016476761]
[-0.00121756737498524, -0.00039414134716397875]
[0.003660545667722115, -0.001476182890706168]
[0.002602724497527742, -0.002026428315771822]
[-0.00845746817072257, -0.00017498882361088874]
[0.002549657883730294, 0.00014764990091112318]
[0.004315014308299503, 0.0019674753476852658]
[0.0007777079101876083, -0.0058205301649532915]
[-0.006559679620392611, -0.014172455293801844]
[-0.005318253677466522, -0.0012231954614624896]
[0.0063409464587627085, -0.0035258291593212032]
[0.0027790213665337404, -0.0016015833191522222]
[-0.0102984454478523, -0.004965071232790885]
[0.002986426319128821, -0.000604057215247783]
[0.003176348467962109, 0.006620639175651588]
[0.0010440353875993402, -0.0022783675645630247]
[-0.004427481649916354, -0.011128372596922897]
[-0.004379918247058523, -0.005055689030001101]
[0.002735291396079642, -0.005770891203223938]
[0.0011721318064563668, 0.0021439801812642018]
[-0.003981065241770443, -0.006856338443344434]
[0.0007307949972172878, -0.003555935787036519]
[-0.002895627089870789, 0.0048549859013204966]
[0.004913073321497485, -0.00048019673901852173]
[-0.0015342160845861486, -0.004829251351360142]
[-0.004570832946797498, -0.003378367897871805]
[-0.0003004159103490167, -0.005232442057186981]
[-0.0015343531189766502, -0.0014307275599408364]
[0.0003118728772733004, -0.011688178677790706]
[0.0030597601952797593, 0.00037458373564168423]
[-0.005591743169142793, 0.00595605654968856]
[0.000658956127395971, -0.0016112878629137711]
[0.0002654802682215962, -0.004569372918757475]
[0.002687901866246234, -0.004563083788287847]
[-0.004497572681280482, -0.0003822041800318754]
[-0.006376706339389804, 0.001987076408662969]
[0.004137975851090991, -0.01299085992420812]
[0.0021681221023650554, -0.0032692643106318198]
[-0.006242271758189366, -0.00010873722707560596]
[0.0037199340936402425, 0.0022809485729666235]
[-0.0005540741907453794, 0.001196600479104637]
[-0.0007008500118534933, -0.0057534715932582026]
[-0.00487623690561112, -0.0022442942986464764]
