[-0.00018099345915006948, -0.00041928204581498374]
[-0.00013294593922419384, 3.6492991438485944e-05]
[0.000718307174529198, -0.00045093677356256023]
[0.00020149177432815524, -0.0004175126715378896]
[-0.00021658466713703195, -0.0004095382016442439]
[0.0002572889467392647, 0.0001719614549009485]
[0.0004158430667037527, -0.00026177132718807616]
[6.134657808237742e-05, -0.000617304913768213]
[-2.1762745497366787e-05, -0.0008055625816451029]
[0.00024002818606638776, 9.873310297581206e-05]
[0.0004438618887584733, 5.291087010084183e-06]
[-8.75335292954138e-05, -0.000311334702838284]
[4.325603253099719e-05, -0.0006808747011550764]
[0.0005562476023207585, -7.771763969999235e-05]
[3.3306175272987404e-05, -0.0001094799800642754]
[-0.0002186330506185885, -0.0003137651281509557]
[0.0004276257898626068, -0.0007885213722280682]
[0.000423224257509458, -0.00018906801910956172]
[-3.530229236668736e-05, 4.283722296882786e-06]
[-9.942025920134379e-05, 1.973532130705724e-05]
[0.0003623555811904586, -0.000519705209005128]
[0.0004769133642911205, -0.0004628182427227623]
[-0.00023100726684706537, -0.0003926726288523419]
[-8.803069336915659e-05, 5.231870009758666e-05]
[0.0006346597766022279, -0.0003479205154113263]
[0.0002288961297122194, -0.0004494569534353454]
[-0.00021460183254769227, -0.0003597507237589337]
[0.00021192722312635137, 0.00018828992199870775]
[0.0003261016497236868, -0.0001536199588140219]
[0.00010898662198724485, -0.0005796838509685154]
[-5.554458953398178e-05, -0.0007423246874550538]
[0.0002682432105909349, 9.219783318736852e-05]
[0.0003624327097927482, 5.91976746243672e-05]
[-8.961612153790544e-05, -0.0003652167782438598]
[3.055841116966773e-05, -0.0006161642686578483]
[0.0005210995317520284, -1.0568974961877586e-05]
[-2.8564767444061445e-05, -3.220026663997011e-05]
[-0.00015846257151226617, -0.000330819053114606]
[0.0003645241333818938, -0.0007235086445569472]
[0.0004375700114988279, -0.00019670432576890384]
[-9.040645386049206e-05, 3.526509974549619e-05]
[-0.00014898136639174275, -2.8354946188025032e-05]
[0.00034529600320293286, -0.0004678130132309555]
[0.0005052260946981912, -0.000379107859901362]
[-0.00028946069064028634, -0.00030250105585338805]
[-7.359083762061881e-05, -8.153565388746564e-06]
[0.0005632783992510215, -0.00032500157023185317]
[0.0002460468410116004, -0.0004587836219774877]
[-0.0002540114561818685, -0.0003287917571966892]
[0.0001313200056285574, 0.0001845009361211014]
[0.0003285234223414091, -0.0001032915111541799]
[0.00019326558493504287, -0.0005490292973868716]
[-0.0001545366178938301, -0.0006593761245899943]
[0.00022185796644955125, 4.8814822406706426e-05]
[0.00033026023257959336, 5.0629207159591516e-05]
[-7.059059339301066e-05, -0.0003951343410598662]
[-9.360067104391412e-06, -0.0005900294285942076]
[0.0004555169997592645, 4.028597141236823e-05]
[-1.7892942755448615e-05, 4.861172356596111e-05]
[-8.664150129247816e-05, -0.00038268711298461433]
[0.00023648110431323532, -0.000704436081597426]
[0.00037885348397628804, -0.00018175232488082393]
[-7.771097645770109e-05, 4.6697895756397934e-05]
[-0.00015395817417976354, -8.509498488218359e-05]
[0.00031188158059058946, -0.00046128935808709137]
[0.0004918574810647558, -0.00030603633087433746]
[-0.0003150432994003527, -0.0001897385899255477]
[-7.586051652824777e-05, -9.831811324167994e-05]
[0.000474208409604604, -0.0003846525017785485]
[0.00023375060823410676, -0.0004105512839643888]
[-0.0002443301989050739, -0.00027099103639305344]
[7.874469696889097e-05, 0.0001268387355869427]
[0.00032408812165246603, -0.00010975017030878664]
